id,facilityId,catalogItemId,programId,equipmentTrackingId,yearOfInstallation,functionalStatus,utilization,voltageStabilizer,backupGenerator,voltageRegulator,manualTemperatureGauge,remoteTemperatureMonitor,lastModifierId,modifiedDate,referenceName,reasonNotWorkingOrNotInUse,decommissionDate
efcb21bc-d044-4fe6-9f0b-cf5e56d58883,45870b0b-b77e-446b-beb8-a5061145444a,f62ee40b-788f-475d-9c83-1827653976cc,418bdc1d-c303-4bd0-b2d3-d8901150a983,6525337,2017,AWAITING_REPAIR,ACTIVE,YES,NO,NO,NO_GAUGE,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #14,DEAD,
e04d4869-281c-4d09-bb6e-dd47877f98ad,0fcab1ac-1ddb-408a-8413-feb5ecfc5dc0,16276e25-ad2f-4f0d-ac24-f1955f0a503e,418bdc1d-c303-4bd0-b2d3-d8901150a983,2261594,2017,UNSERVICEABLE,ACTIVE,UNKNOWN,NOT_APPLICABLE,YES,PAIRED,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #15,NOT_IN_USE,2017-07-09
f6f470b0-ee63-4316-97d1-88ed9c1ae5dc,b25bf57d-43ae-41be-8fa9-6335c6fbe161,c4909f4f-c84a-45e4-a9e0-dc4fcdea4ce5,418bdc1d-c303-4bd0-b2d3-d8901150a983,3884422,2017,FUNCTIONING,ACTIVE,NO,YES,YES,BUILD_IN,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #16,,
208ea10d-ec09-4116-829d-c020d34a328f,97546f93-ac93-435f-a437-cd629deb7d6d,f62ee40b-788f-475d-9c83-1827653976cc,418bdc1d-c303-4bd0-b2d3-d8901150a983,3850542,2017,AWAITING_REPAIR,ACTIVE,NO,NO,UNKNOWN,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #17,SURPLUS,
1c91a698-d86c-4819-b621-dc0a317bc13a,d473a46c-24f7-4ed0-84c9-dc8941acbf32,df135ec9-8dda-4f6b-aac0-4ae69c684990,418bdc1d-c303-4bd0-b2d3-d8901150a983,1418320,2017,FUNCTIONING,ACTIVE,YES,YES,UNKNOWN,NO_GAUGE,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #18,,
229174fe-3fee-44f2-a58a-cd8dc344d3e3,65abb2fb-25ca-429b-add7-d092774e51b8,df135ec9-8dda-4f6b-aac0-4ae69c684990,418bdc1d-c303-4bd0-b2d3-d8901150a983,5488611,2017,AWAITING_REPAIR,ACTIVE,YES,UNKNOWN,YES,NO_GAUGE,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #19,SURPLUS,
2c25d6a8-406b-4ae6-8bf0-e961534eddcd,5feb3242-10bb-41ea-ab94-4fb6b95185b8,199257cd-1326-4530-b450-18fbea3bde4c,418bdc1d-c303-4bd0-b2d3-d8901150a983,1391752,2017,UNSERVICEABLE,ACTIVE,NO,NO,YES,PAIRED,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #20,NOT_IN_USE,2017-04-23
0189b9a0-6609-4f03-b316-feb66fd327a8,f573c829-bf73-49e7-ac7d-c13567dcd6c2,0dd5752c-7744-438a-90ae-14651b57cdc0,418bdc1d-c303-4bd0-b2d3-d8901150a983,5351898,2017,FUNCTIONING,ACTIVE,NOT_APPLICABLE,YES,UNKNOWN,NO_GAUGE,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #21,,
8d8aeefb-07de-4db0-bb91-092320fd22f6,88f3adf2-a59a-49f5-9d90-6ee1367262dd,d9859ac7-22a9-43c5-9a6e-4e104a64fea3,418bdc1d-c303-4bd0-b2d3-d8901150a983,4829302,2017,AWAITING_REPAIR,ACTIVE,NO,NOT_APPLICABLE,UNKNOWN,BUILD_IN,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #22,NEEDS_SPARE_PARTS,
f0ef40a9-2c39-493a-b612-6eb91d715787,a2d3f399-6862-41ec-9a29-dd41ebd50ed9,b7f6e748-fb84-4cfb-96de-651375d54f0e,418bdc1d-c303-4bd0-b2d3-d8901150a983,9719182,2017,FUNCTIONING,ACTIVE,NO,NO,YES,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #23,,
6ac4a95d-5755-4a5a-bbc1-9d20cb976462,c2051128-f6bf-4d84-a33b-1b360a2d87f9,b7f6e748-fb84-4cfb-96de-651375d54f0e,418bdc1d-c303-4bd0-b2d3-d8901150a983,3643620,2017,AWAITING_REPAIR,ACTIVE,YES,UNKNOWN,YES,NO_GAUGE,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #24,DEAD,
c63d137b-50ca-4954-839c-0b0ba2a155ce,63ab622b-9628-4084-8bc5-ced7cf03a01d,b7f6e748-fb84-4cfb-96de-651375d54f0e,418bdc1d-c303-4bd0-b2d3-d8901150a983,6697413,2017,UNSERVICEABLE,ACTIVE,NO,NO,UNKNOWN,PAIRED,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #25,NOT_IN_USE,2017-05-27
6b9a79e9-fed8-402f-87fd-ecb16572b960,f7453d96-601f-4e98-9081-43bd1362a828,a4a83bb8-8ad1-416f-a2e1-831477565820,418bdc1d-c303-4bd0-b2d3-d8901150a983,1487665,2017,FUNCTIONING,ACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,YES,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #26,,
aba44d9c-df3a-44a7-aa0d-1fb8440ecfa2,e9dbb5af-b6a2-45e8-83be-b94117fa0d71,3f8b15ad-1f16-4104-9108-df9f941476ed,418bdc1d-c303-4bd0-b2d3-d8901150a983,6721154,2017,AWAITING_REPAIR,ACTIVE,YES,UNKNOWN,NO,NO_GAUGE,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #27,DEAD,
6bd37cb4-f733-4df9-b7fc-542b974d7d35,a7ddecee-5699-450e-bd79-bd1b2d00bbfd,c4909f4f-c84a-45e4-a9e0-dc4fcdea4ce5,418bdc1d-c303-4bd0-b2d3-d8901150a983,9423741,2017,FUNCTIONING,ACTIVE,YES,NOT_APPLICABLE,NO,NO_GAUGE,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #28,,
56787c1e-fe9a-4c6b-8df4-bb953768aa75,c0d4d66b-d8e9-47e9-92e6-588c88c97c7c,199257cd-1326-4530-b450-18fbea3bde4c,418bdc1d-c303-4bd0-b2d3-d8901150a983,8386303,2017,AWAITING_REPAIR,ACTIVE,NO,NO,UNKNOWN,NO_GAUGE,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #29,NO_FUEL,
ff02d919-90e4-4fd3-a06e-3b6635fa5e40,0267919e-836e-492f-af36-c8c111baaeab,df135ec9-8dda-4f6b-aac0-4ae69c684990,418bdc1d-c303-4bd0-b2d3-d8901150a983,6462141,2017,UNSERVICEABLE,ACTIVE,UNKNOWN,YES,YES,BUILD_IN,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #30,NOT_IN_USE,2016-11-25
513df32f-a101-49c8-b0ab-3a9a8b15e567,3a41fcaa-4c41-4fa4-8b6b-3b209138ff90,0dd5752c-7744-438a-90ae-14651b57cdc0,418bdc1d-c303-4bd0-b2d3-d8901150a983,4159077,2017,FUNCTIONING,ACTIVE,YES,YES,YES,BUILD_IN,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #31,,
e264d103-001f-4fc7-a4ad-228b707a0217,2a536413-1a49-4ea6-a904-a7faca769c16,a4a83bb8-8ad1-416f-a2e1-831477565820,418bdc1d-c303-4bd0-b2d3-d8901150a983,8874058,2017,AWAITING_REPAIR,ACTIVE,NO,YES,UNKNOWN,NO_GAUGE,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #32,NEEDS_SPARE_PARTS,
b8a0d964-9957-4926-b0a9-035bffae661c,5f9c60d8-753a-4d34-9769-d08f6703a8ee,3f8b15ad-1f16-4104-9108-df9f941476ed,418bdc1d-c303-4bd0-b2d3-d8901150a983,1374181,2017,FUNCTIONING,ACTIVE,UNKNOWN,NO,UNKNOWN,BUILD_IN,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #33,,
d4b9c806-aad6-46d6-a3f2-81a9fa923abd,c5c3706f-2379-4209-aa3e-efd5bba8fad3,f62ee40b-788f-475d-9c83-1827653976cc,418bdc1d-c303-4bd0-b2d3-d8901150a983,5065988,2017,AWAITING_REPAIR,ACTIVE,NO,UNKNOWN,YES,BUILD_IN,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #34,NO_FINANCE,
5342234e-cf10-4c54-9791-9eb8e2f28371,796ed125-dc1a-4e40-9b50-ed46843de019,0dd5752c-7744-438a-90ae-14651b57cdc0,418bdc1d-c303-4bd0-b2d3-d8901150a983,2727385,2017,UNSERVICEABLE,ACTIVE,UNKNOWN,YES,UNKNOWN,NO_GAUGE,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #35,NOT_IN_USE,2016-10-31
dd363fc0-1544-4dd5-9943-18480878e1ba,52be842d-4d74-434e-b8bb-cb983462a4ee,3f8b15ad-1f16-4104-9108-df9f941476ed,418bdc1d-c303-4bd0-b2d3-d8901150a983,9692862,2017,FUNCTIONING,ACTIVE,UNKNOWN,NOT_APPLICABLE,UNKNOWN,NO_GAUGE,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #36,,
55c6f78f-3491-49a6-aef9-432ad1e3845c,8adb4ef8-b7ef-4583-91cd-f99c1e4214c7,3f8b15ad-1f16-4104-9108-df9f941476ed,418bdc1d-c303-4bd0-b2d3-d8901150a983,4779517,2017,AWAITING_REPAIR,ACTIVE,NO,YES,NOT_APPLICABLE,BUILD_IN,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #37,SURPLUS,
5cea9a91-5766-423e-8fb3-5e94100d7143,7174e805-4fd7-4ffb-a0d3-dc97452dbe89,df135ec9-8dda-4f6b-aac0-4ae69c684990,418bdc1d-c303-4bd0-b2d3-d8901150a983,8635125,2017,FUNCTIONING,ACTIVE,NOT_APPLICABLE,NO,YES,NO_GAUGE,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #38,,
80290d5e-1fdf-4a23-8bb3-ac68f6d5e2f6,c003b16f-a71c-45e8-84bd-e0bbbebd3aef,d9859ac7-22a9-43c5-9a6e-4e104a64fea3,418bdc1d-c303-4bd0-b2d3-d8901150a983,8535388,2017,AWAITING_REPAIR,ACTIVE,YES,NOT_APPLICABLE,NO,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #39,SURPLUS,
780a967a-f996-4555-a4fc-f2d494d9f378,6c741c92-6020-47e4-bbd2-1a13d0028c6b,199257cd-1326-4530-b450-18fbea3bde4c,418bdc1d-c303-4bd0-b2d3-d8901150a983,4627846,2017,UNSERVICEABLE,ACTIVE,NOT_APPLICABLE,NO,YES,PAIRED,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #40,NOT_IN_USE,2016-10-14
308d690d-4065-4cc8-a81c-a5fbac165098,2a12b307-cd31-4088-8b2d-b70640eabc3a,df135ec9-8dda-4f6b-aac0-4ae69c684990,418bdc1d-c303-4bd0-b2d3-d8901150a983,3828908,2017,FUNCTIONING,ACTIVE,NOT_APPLICABLE,UNKNOWN,NOT_APPLICABLE,BUILD_IN,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #41,,
330bc31e-c7af-4cb2-8ca6-e1bde463a321,7fc9bda8-ad8a-468d-8244-38e1918527d5,199257cd-1326-4530-b450-18fbea3bde4c,418bdc1d-c303-4bd0-b2d3-d8901150a983,1329560,2017,AWAITING_REPAIR,ACTIVE,NOT_APPLICABLE,NO,YES,BUILD_IN,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #42,SURPLUS,
3f977b20-6417-4d95-a4d9-700a0cf1e105,4774fc63-a0c8-4a29-a01d-5b6b48632175,199257cd-1326-4530-b450-18fbea3bde4c,418bdc1d-c303-4bd0-b2d3-d8901150a983,1214052,2017,FUNCTIONING,ACTIVE,UNKNOWN,YES,YES,PAIRED,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #43,,
cc6c8e92-7050-43e3-bbd8-07dc6e3c098c,a205764b-3998-4c89-afac-2bc9d737c8d3,94c6e021-0020-4af3-b789-306f2cd1dabb,418bdc1d-c303-4bd0-b2d3-d8901150a983,5558047,2017,AWAITING_REPAIR,ACTIVE,NOT_APPLICABLE,YES,YES,BUILD_IN,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #44,DEAD,
df8caf82-ad82-445e-877f-442cb38f1997,0509f332-a77e-4bfc-921b-11c46a6bbfd2,c4909f4f-c84a-45e4-a9e0-dc4fcdea4ce5,418bdc1d-c303-4bd0-b2d3-d8901150a983,7440445,2017,UNSERVICEABLE,ACTIVE,NO,NO,YES,BUILD_IN,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #45,NOT_IN_USE,2017-07-21
c6c8c3eb-dcad-4c43-8e65-9da0d387ece7,19a94b68-e613-4996-9bea-94313e9fa34d,199257cd-1326-4530-b450-18fbea3bde4c,418bdc1d-c303-4bd0-b2d3-d8901150a983,6399782,2017,FUNCTIONING,ACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,BUILD_IN,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #46,,
da2d0e17-79e5-48ca-a2ed-115d80e73125,6115591d-6e74-4b7f-9f80-f19e42494c99,9f160b5a-a1b3-433f-84b3-b838c52d1354,418bdc1d-c303-4bd0-b2d3-d8901150a983,5971381,2017,AWAITING_REPAIR,ACTIVE,NOT_APPLICABLE,YES,NOT_APPLICABLE,NO_GAUGE,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #47,NEEDS_SPARE_PARTS,
3e524e70-8bda-407a-883d-a954478d1135,e21e24ea-2d60-4468-b410-133c51485402,9f160b5a-a1b3-433f-84b3-b838c52d1354,418bdc1d-c303-4bd0-b2d3-d8901150a983,7058282,2017,FUNCTIONING,ACTIVE,NO,NO,NOT_APPLICABLE,PAIRED,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #48,,
c3b75e72-59ab-4d64-8ff1-b51ecdd85b01,5146de1c-f089-43ff-8016-3c9e8f36e014,9f160b5a-a1b3-433f-84b3-b838c52d1354,418bdc1d-c303-4bd0-b2d3-d8901150a983,6220720,2017,AWAITING_REPAIR,ACTIVE,NOT_APPLICABLE,YES,YES,BUILD_IN,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #49,DEAD,
67d149b5-a77f-45a6-8288-331ae78c7241,249fbafc-e934-4068-8452-d92381299c40,d9859ac7-22a9-43c5-9a6e-4e104a64fea3,418bdc1d-c303-4bd0-b2d3-d8901150a983,1814074,2017,UNSERVICEABLE,ACTIVE,YES,NOT_APPLICABLE,YES,PAIRED,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #50,NOT_IN_USE,2017-03-24
68f227a8-5944-404f-8cd1-57c2cd8cae2d,6c0de27e-2705-4183-96fc-0905caa34dc2,3f8b15ad-1f16-4104-9108-df9f941476ed,418bdc1d-c303-4bd0-b2d3-d8901150a983,3744889,2017,FUNCTIONING,ACTIVE,NO,NO,UNKNOWN,BUILD_IN,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #51,,
ed6df52b-b553-4fa5-b128-7397a5b38d3b,97f7c9fb-4d2f-4501-a4bf-f9c365815c20,c4909f4f-c84a-45e4-a9e0-dc4fcdea4ce5,418bdc1d-c303-4bd0-b2d3-d8901150a983,2447331,2017,AWAITING_REPAIR,ACTIVE,NO,NOT_APPLICABLE,NO,NO_GAUGE,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #52,SURPLUS,
404e5a37-e0aa-4964-9587-4e249722e929,e6673cec-c79c-4111-b67c-9b31a1735e27,94c6e021-0020-4af3-b789-306f2cd1dabb,418bdc1d-c303-4bd0-b2d3-d8901150a983,5177298,2017,FUNCTIONING,ACTIVE,UNKNOWN,NO,NOT_APPLICABLE,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #53,,
27ff8ced-be70-4927-8287-b69200691f98,701ee94a-083e-46bb-83b7-d95c3a4c9884,f62ee40b-788f-475d-9c83-1827653976cc,418bdc1d-c303-4bd0-b2d3-d8901150a983,6641273,2017,AWAITING_REPAIR,ACTIVE,YES,NOT_APPLICABLE,NO,NO_GAUGE,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #54,NEEDS_SPARE_PARTS,
8b04697d-82f5-439f-801c-4d095f427831,45870b0b-b77e-446b-beb8-a5061145444a,0dd5752c-7744-438a-90ae-14651b57cdc0,418bdc1d-c303-4bd0-b2d3-d8901150a983,3751717,2017,UNSERVICEABLE,ACTIVE,NO,UNKNOWN,NOT_APPLICABLE,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #55,NOT_IN_USE,2017-09-24
a0783f39-c943-4e55-888a-ff45c7522895,0fcab1ac-1ddb-408a-8413-feb5ecfc5dc0,94c6e021-0020-4af3-b789-306f2cd1dabb,418bdc1d-c303-4bd0-b2d3-d8901150a983,4286335,2017,FUNCTIONING,ACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO_GAUGE,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #56,,
55c4b3f9-6aa5-48ba-8561-b00d566f34cb,b25bf57d-43ae-41be-8fa9-6335c6fbe161,c4909f4f-c84a-45e4-a9e0-dc4fcdea4ce5,418bdc1d-c303-4bd0-b2d3-d8901150a983,4266971,2017,AWAITING_REPAIR,ACTIVE,NO,NO,NO,BUILD_IN,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #57,NEEDS_SPARE_PARTS,
ecb960ce-a126-467f-b906-d0c6f56916b5,97546f93-ac93-435f-a437-cd629deb7d6d,df135ec9-8dda-4f6b-aac0-4ae69c684990,418bdc1d-c303-4bd0-b2d3-d8901150a983,1235935,2017,FUNCTIONING,ACTIVE,NOT_APPLICABLE,UNKNOWN,YES,PAIRED,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #58,,
cf5b7134-08e3-43ec-8cad-3ba814f6ad7c,d473a46c-24f7-4ed0-84c9-dc8941acbf32,9f160b5a-a1b3-433f-84b3-b838c52d1354,418bdc1d-c303-4bd0-b2d3-d8901150a983,8164775,2017,AWAITING_REPAIR,ACTIVE,NOT_APPLICABLE,NOT_APPLICABLE,NO,BUILD_IN,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #59,NO_FUEL,
611a4d66-b4ab-4b2b-b9c5-e82e5faf0cba,65abb2fb-25ca-429b-add7-d092774e51b8,199257cd-1326-4530-b450-18fbea3bde4c,418bdc1d-c303-4bd0-b2d3-d8901150a983,9207722,2017,UNSERVICEABLE,ACTIVE,YES,NOT_APPLICABLE,NOT_APPLICABLE,NO_GAUGE,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #60,NOT_IN_USE,2016-11-21
25c87bac-c6fb-48f9-9b27-1fa4888c9639,5feb3242-10bb-41ea-ab94-4fb6b95185b8,b7f6e748-fb84-4cfb-96de-651375d54f0e,418bdc1d-c303-4bd0-b2d3-d8901150a983,9150813,2017,FUNCTIONING,ACTIVE,NO,YES,YES,PAIRED,PAIRED,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #61,,
14c520b0-c8c8-472f-8f4a-f9f0b7daae48,f573c829-bf73-49e7-ac7d-c13567dcd6c2,9f160b5a-a1b3-433f-84b3-b838c52d1354,418bdc1d-c303-4bd0-b2d3-d8901150a983,7365722,2017,AWAITING_REPAIR,ACTIVE,YES,NO,NOT_APPLICABLE,NO_GAUGE,BUILD_IN,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #62,DEAD,
205a623f-6c7e-40c5-824a-fe8ef377d630,88f3adf2-a59a-49f5-9d90-6ee1367262dd,d9859ac7-22a9-43c5-9a6e-4e104a64fea3,418bdc1d-c303-4bd0-b2d3-d8901150a983,3470819,2017,FUNCTIONING,ACTIVE,YES,UNKNOWN,NOT_APPLICABLE,NO_GAUGE,NO_RTM,1e3b03a5-1d48-4de1-bb4a-389beece2277,2017-10-01,Fridge #63,,
