id,fromPqsCatalog,equipmentCode,type,model,manufacturer,energySource,dateOfPrequal,storageTemperature,maxOperatingTemp,minOperatingTemp,energyConsumption,holdoverTime,grossVolume,netVolume,visibleInCatalog,archived
a03f898c-a77d-4a0a-97ad-0dba8a1bb203,false,0338-0707,rutrum,CGO-530-wkr,Crist Inc,NOT_APPLICABLE,2016,MINUS12,21,-49,4.17kW/day,97,53,10,false,false
d408f04d-e214-44d8-93db-902526d22d50,false,36987-2888,vestibulum,UFQ-01557-,"Brown, Kutch and Nolan",GASOLINE,1950,MINUS7,-33,22,4.77kW/day,37,91,81,false,true
3c5e0acc-bb42-4f88-bfb1-2d4e24368576,false,36987-1863,cubilia,ZBPOX-73-mx,Hudson-Windler,GASOLINE,1958,MINUS3,29,17,8.51kW/day,16,84,88,true,false
8e70b32b-0885-4639-9a7a-316723afd0e1,true,43353-764,ante ipsum primis,MB-53-zx,Collins-Reilly,GASOLINE,1968,MINUS1,5,-14,6.46kW/day,4,78,17,false,true
b54be3da-99c8-4e36-9089-b7f8a8066dbf,false,68788-9708,diam,KPZ-59903-eio,Pollich LLC,GASOLINE,2016,MINUS4,31,22,0.96kW/day,32,78,70,true,false
d4f0ca98-5203-45b3-bcc0-e12835c40ae5,true,21130-594,orci,OKAVD-022-sjk,"Cruickshank, Morar and Greenfelder",SOLAR,2010,MINUS20,-43,21,7.09kW/day,88,39,40,true,true
74912405-580d-4bad-b08f-9536141e3832,false,13630-0012,id massa,ZV-3963-ceqvo,Kulas Inc,GASOLINE,2003,MINUS3,-27,-31,9.44kW/day,30,88,97,true,false
a87f2619-305e-40b8-9245-1e83fe95b33f,false,67046-960,est et tempus,FMNP-01193-,"Welch, Tillman and Koepp",ELECTRIC,2006,MINUS9,-43,49,2.18kW/day,29,51,73,false,true
c4f74508-d038-49a9-b566-ebf07cfeac5a,true,21695-836,ac,WZ-3-lpcnr,Treutel and Sons,GASOLINE,2007,MINUS7,-1,-36,1.00kW/day,28,6,9,false,false
cf40ef55-e3fe-4925-842d-2e3e014f3029,false,63739-520,faucibus accumsan,FCV-743-,Collins-Lehner,ELECTRIC,2016,MINUS13,-26,31,6.79kW/day,22,99,61,false,true
7760264d-fccd-485d-9fdb-607e2744f367,true,49288-0254,tempus sit,RVDJ-8787-vd,Howe Group,GASOLINE,1990,MINUS3,22,-50,9.44kW/day,35,67,98,true,false
10bacb5e-3aa1-4729-896c-6daaa5810836,false,11523-0620,at nunc commodo,LGI-9483-b,Hettinger LLC,GASOLINE,1961,MINUS11,-27,36,1.71kW/day,28,60,24,true,true
320d34f6-4933-4129-8f1c-73b34657c5b8,false,43063-051,erat eros viverra,JW-52-pgmyl,"Schiller, Thompson and Leuschke",GASOLINE,1960,MINUS16,37,8,4.26kW/day,89,18,48,true,false
f3e8b8ec-0649-47a0-bfa9-874b26a3f775,false,58411-111,vestibulum,FEGAR-01-xojh,"O'Kon, Baumbach and Bechtelar",SOLAR,2004,MINUS1,50,10,2.86kW/day,28,94,88,false,true
e353f12c-1deb-4e34-99d9-ca11e863a2dc,false,75913-113,vel,BOWHF-67445-my,Mraz-Pfeffer,SOLAR,2014,MINUS11,7,-23,4.98kW/day,53,79,83,false,false
02565624-c520-4835-8bc4-fa92830fe371,true,64760-300,augue aliquam erat,OZUJH-84635-,"Hessel, Hickle and Luettgen",GASOLINE,1969,MINUS6,42,-39,3.52kW/day,48,9,73,true,true
a7478dd3-b3ff-40f2-a5d3-301eeab0af68,true,57955-8020,dictumst maecenas,OVFX-20-,"Wisozk, Simonis and Kertzmann",GASOLINE,1993,MINUS5,44,40,9.33kW/day,37,97,36,true,false
c322bc1b-e5d8-4dff-8f4a-9375fc4106af,false,12634-909,purus phasellus in,BIFU-444-zlb,Hoeger and Sons,GASOLINE,1992,MINUS3,47,6,4.85kW/day,13,83,18,false,true
15a0aa6a-1c70-4efd-92c2-286144bd0035,false,25021-802,interdum eu,LC-93-pzbci,Herman and Sons,ELECTRIC,1968,MINUS9,33,35,2.58kW/day,94,58,88,false,false
2ac00890-8340-4850-92f5-8206205c02a4,true,50419-777,quis orci,EWS-56-,Heaney and Sons,GASOLINE,1982,MINUS1,-24,17,9.20kW/day,4,34,68,false,true
0a02a8ea-981d-4fba-9246-049e77fa2c10,false,59970-167,a ipsum,EIYK-53-wqrn,"Lynch, Labadie and Haley",NOT_APPLICABLE,2000,MINUS11,-41,17,9.97kW/day,0,44,71,true,false
2f633f11-55ca-4ed3-b080-006e21a45d46,true,68382-795,natoque,NWJFA-9-xfpmo,Luettgen-Satterfield,NOT_APPLICABLE,1997,MINUS11,-28,17,8.77kW/day,5,46,9,false,true
f3d5751c-8e38-4d1f-8b9a-1c6bfa639de3,true,41250-036,diam,NXR-5-,Schroeder Group,NOT_APPLICABLE,1974,MINUS10,31,-32,7.54kW/day,79,35,7,true,false
6025d914-676a-4ef3-9ba1-e249fc3658cc,false,0409-7982,enim leo rhoncus,KWHC-5-mf,Klein-Nitzsche,SOLAR,2001,MINUS3,-7,-18,7.73kW/day,2,97,81,true,true
71734a6e-ae14-4419-8e27-673ca655e794,true,57237-029,vestibulum aliquet,BFJN-1-il,"Reichert, Hilll and Bauch",ELECTRIC,1983,MINUS9,36,24,6.28kW/day,51,93,48,false,false
7285c7d0-6faf-4d4d-b26f-7aa07c74e36e,false,51367-008,potenti in,MQLRD-8957-,Cassin Group,SOLAR,2015,MINUS9,11,-32,6.14kW/day,49,71,68,false,true
247ed002-b403-467d-88eb-2b2a72aa0c6d,true,49288-0471,pede,WF-9034-i,Murazik Group,SOLAR,1968,MINUS7,1,-10,9.25kW/day,79,40,68,true,false
5d76b979-32ce-4277-a690-02c6eef73219,false,65437-038,rutrum rutrum,GS-180-wa,Wisozk Group,GASOLINE,1973,MINUS19,-16,-5,3.43kW/day,39,54,1,false,true
fb89d733-eccc-4611-82f4-f0ab79a57ba6,true,50114-1315,leo odio porttitor,YXCWQ-36-qsct,"Sauer, Collier and Marquardt",SOLAR,2003,MINUS17,15,-28,7.80kW/day,29,40,1,false,false
f7f77aac-df6b-429f-8861-94cdf54d1913,true,50845-0104,sagittis nam congue,CFPWI-5687-eslo,Brakus LLC,GASOLINE,1983,MINUS10,48,29,9.50kW/day,20,41,8,false,true
67ad6496-ee66-4bce-959a-7485df42ad64,true,36987-3190,sapien iaculis,XIUQE-7-p,"Mraz, Heller and Batz",SOLAR,2003,MINUS18,49,-28,3.99kW/day,70,4,53,true,false
e507493a-5d13-4496-bcaf-ce5fa863fb09,false,68382-052,mi sit,XP-821-rw,Jacobi LLC,SOLAR,1992,MINUS10,1,25,2.73kW/day,61,37,46,true,true
40058798-38eb-4f33-bb20-84196b4b0ef5,true,68788-9782,vestibulum proin eu,FEGOB-7-lmv,"O'Connell, Schulist and Trantow",ELECTRIC,1967,MINUS9,-13,14,6.52kW/day,25,74,20,true,false
01cf1bc8-90eb-4add-b016-c69c28ab781e,true,21695-627,condimentum id,VK-6998-bm,Schroeder Inc,SOLAR,2002,MINUS9,-18,23,6.97kW/day,48,85,35,false,true
c4132113-cd63-4a04-a5c6-c39f0caf5966,true,49349-154,integer,WK-36-ztivj,Smitham and Sons,ELECTRIC,1988,MINUS19,-42,44,1.41kW/day,51,53,62,true,false
ebf33173-883e-4276-b2cd-71fb795008bd,true,49349-289,at velit,SMB-9-um,Monahan-Rippin,GASOLINE,1964,MINUS14,3,37,7.37kW/day,61,92,68,true,true
bfd4ba43-2aa6-4a2a-b0e6-7b8b60d1ba01,true,0904-6041,morbi,EJZXN-07503-l,Mante-Stehr,ELECTRIC,1969,MINUS4,26,-31,3.10kW/day,88,97,52,false,false
502e8734-95f1-4e3c-b762-ac99806dbb8f,true,36987-1738,suscipit nulla,CDNEV-33-fbcjq,"Graham, Tillman and Kautzer",NOT_APPLICABLE,1966,MINUS17,34,50,7.83kW/day,17,70,72,true,true
c7bf4c64-79de-4c38-99d3-b419a60f0e2c,false,52279-001,mauris ullamcorper purus,FAU-057-l,"Sanford, Lind and Stamm",SOLAR,1954,MINUS9,35,-23,8.83kW/day,55,0,17,false,false
c76fb377-ce33-4bf6-b89f-6e4dd2869f2d,true,35356-253,luctus cum sociis,NSZUK-02-umf,"Hudson, Balistreri and Adams",NOT_APPLICABLE,2017,MINUS6,35,26,0.70kW/day,22,84,19,true,true
221fea05-e922-43f6-af52-de6524478b65,false,99207-466,maecenas ut,OP-89030-xwz,"Rempel, Bergstrom and Kilback",SOLAR,2013,MINUS10,-1,0,3.87kW/day,81,78,16,false,false
8ec5215c-13bf-479e-b1e7-bac18fb7a661,false,25021-202,vivamus metus arcu,DANIV-6235-zov,Witting Group,GASOLINE,1982,MINUS6,15,-18,5.56kW/day,49,51,15,true,true
03c7a041-d13f-4307-8401-0b805f341baf,true,0409-7295,laoreet,NBU-1-nvow,"Zboncak, Koch and Mayer",NOT_APPLICABLE,1954,MINUS3,-14,-22,0.70kW/day,54,23,14,true,false
9ce28e2a-6a1a-48b2-892d-f07d7af7119e,true,67457-510,vel,POY-2-a,"Leffler, Goldner and Thiel",SOLAR,2011,MINUS5,28,-6,7.26kW/day,27,88,56,true,true
ad1c4dd1-07ec-45ef-a95f-c922e4309537,false,0440-1795,varius ut blandit,DWVP-5-,Stehr-Doyle,ELECTRIC,2007,MINUS19,14,-48,3.73kW/day,71,4,0,true,false
0e9075d1-75df-454e-8501-c6b0c45e8c32,true,52125-730,faucibus cursus,KDY-0-a,Harber Inc,GASOLINE,2010,MINUS9,24,-20,7.07kW/day,23,18,43,false,true
88cebb97-ea5f-44b5-b927-dae342636925,true,65862-460,sapien,ZW-705-orgxs,"Erdman, Stamm and Olson",NOT_APPLICABLE,2011,MINUS8,1,-4,1.78kW/day,25,96,11,true,false
7dc327c2-51df-476a-aae8-06bf5ce6b412,true,41250-476,posuere,GU-7-ylsa,Schroeder-Hackett,NOT_APPLICABLE,2004,MINUS15,-16,-39,1.28kW/day,45,31,36,true,true
7f8e9db2-3936-4a7a-9789-b20ab05b9f34,true,58118-0693,id ornare,OBJ-9105-ywc,Ferry-Gutmann,GASOLINE,1994,MINUS10,-30,29,3.33kW/day,88,98,50,true,false
878044ab-7b14-4e4e-8789-a3b15ce9e080,true,59535-6501,massa,ULMXB-24-bfis,Torp Inc,SOLAR,2012,MINUS10,-44,-43,8.23kW/day,12,71,35,false,true
d6128763-2bd7-4573-bbb2-bfaa875eab9f,true,36987-3091,sed interdum,GMIKH-50-c,"Berge, Wolf and Mitchell",GASOLINE,1981,MINUS12,-48,20,3.49kW/day,22,15,61,false,false
98d60e4f-4cd9-4f0d-ade3-d3de3e38c521,true,0430-0753,eget,XA-61069-gs,Funk-Daniel,SOLAR,2002,MINUS20,48,-35,5.68kW/day,52,91,4,false,true
d12ab9b0-a33c-4567-a7af-e6e85a8aa8d7,false,0220-9054,elementum nullam,QK-0-bexy,"Kozey, Bernhard and Marquardt",GASOLINE,1970,MINUS18,12,22,1.27kW/day,28,3,44,true,false
58a39a20-f168-49da-bdb1-6cffeeecc023,false,55154-0878,nec condimentum neque,DTLRQ-46-b,Heidenreich Group,NOT_APPLICABLE,1988,MINUS3,-12,-47,9.22kW/day,100,44,19,false,true
f33baa1e-79ab-4592-92fe-1566c87735b1,false,48951-4042,sed,MDCJ-56-tnjuh,Barrows-Lebsack,NOT_APPLICABLE,1995,MINUS2,29,-34,4.20kW/day,8,46,9,false,false
2288d896-ea13-422d-af4a-a1c13f47695e,false,51824-022,congue elementum,YCLQ-940-kh,McGlynn Inc,NOT_APPLICABLE,1996,MINUS14,-5,27,5.29kW/day,29,73,82,false,true
abe4b77d-80db-42bb-94b8-98906a58c9b3,false,51335-003,diam nam,PUB-7-rpbqo,Streich-Lowe,ELECTRIC,1984,MINUS2,-13,-16,7.64kW/day,34,8,79,true,false
ce8e4e74-63d5-4059-8c5e-b685a8d01bf1,true,56104-136,morbi,SF-123-fotx,Lemke-Klein,NOT_APPLICABLE,2017,MINUS4,6,13,7.15kW/day,75,71,32,false,true
c0f388b9-4d71-4bfb-bb5f-9db138483212,true,68400-307,nec nisi volutpat,SA-3-yhf,Christiansen Inc,SOLAR,1954,MINUS2,-8,-31,1.09kW/day,21,28,66,false,false
316f86f2-5c79-4b22-819c-84bbe5d63a73,false,49999-150,neque sapien placerat,NV-52-,DuBuque-Balistreri,ELECTRIC,1989,MINUS3,-21,45,6.35kW/day,70,94,65,false,true
9b1d64e3-c8e6-459a-9342-0a2509f84d92,false,31722-565,massa quis,KWCT-4-,Jacobi Group,SOLAR,2016,MINUS11,-1,35,1.05kW/day,54,19,64,true,false
2ffed6a1-f62e-43bd-acb4-676da4bc77bd,false,10544-169,purus,PW-1059-,"Pfannerstill, Dooley and Lehner",ELECTRIC,1973,MINUS14,13,-45,9.72kW/day,0,45,51,false,true
a51dfe17-7c60-48d9-870e-39087120ea52,true,57469-030,sem sed sagittis,VSN-4-l,Casper Inc,NOT_APPLICABLE,2007,MINUS11,45,-31,9.23kW/day,29,49,6,true,false
6911c83b-9899-493d-bb72-cb89c1c190fb,false,10812-286,neque libero convallis,ARZ-08-wpsnj,"Thiel, Halvorson and Runolfsson",SOLAR,1963,MINUS11,3,-41,1.95kW/day,92,4,56,true,true
2edf77d5-a162-4e5b-aa61-cb79cab90096,false,76518-100,fusce,NWZRH-8-cjkyw,Boyle Inc,SOLAR,1984,MINUS6,15,-46,4.51kW/day,12,76,69,true,false
7686310d-0e1c-4835-953d-1f43ece817a5,false,51346-128,ante,APHI-7-ec,Haag-Stokes,ELECTRIC,2009,MINUS13,-7,-5,2.00kW/day,27,0,45,false,true
b18a4ec2-227e-40a4-afdf-5fdf6b2033ca,false,11673-094,mus,IJ-09-ybsfk,Schmitt and Sons,ELECTRIC,2000,MINUS10,43,-21,4.47kW/day,70,34,83,false,false
2dff475a-741b-4d2d-94f5-eba58f182f1e,false,10812-380,duis,VA-26-bg,"Stiedemann, Wyman and Jacobs",NOT_APPLICABLE,2006,MINUS13,3,40,8.95kW/day,52,28,1,false,true
8b05a503-41da-42cb-901f-a6aa4326b2e8,true,65841-056,quis tortor,CQWSI-04410-mjlr,"Wisozk, Kling and Pfeffer",ELECTRIC,1960,MINUS16,33,-9,1.29kW/day,68,95,66,true,false
acc2c83e-cad9-4ee3-8146-9ee7c90cfbad,true,64117-994,ut nunc vestibulum,QI-85-,"Considine, Grant and Sipes",GASOLINE,1952,MINUS14,30,12,1.41kW/day,29,90,100,true,true
9a9b882d-8940-46d4-95b3-24f4f581d992,false,12634-471,montes nascetur ridiculus,BLQE-2-,Buckridge LLC,NOT_APPLICABLE,1957,MINUS17,-4,-8,9.63kW/day,45,77,22,true,false
cc65126b-7024-448e-b775-8ad3c22a666b,true,42254-229,ultrices posuere,NXL-8-jxp,"Langworth, Brekke and Prosacco",ELECTRIC,1971,MINUS11,25,39,4.34kW/day,36,69,68,true,true
d916ebb5-67fb-400f-b9fd-34000cb2eaa7,true,50458-220,sapien,WRA-49-gtbyz,Nienow Group,ELECTRIC,1995,MINUS7,-3,-32,6.42kW/day,68,73,85,true,false
e137f0c2-3bc5-4f12-8d18-66af9d96f7d3,false,62670-4791,vehicula,LDATK-169-vxdr,Heaney LLC,ELECTRIC,2015,MINUS6,-42,13,4.67kW/day,95,84,85,false,true
607fae3f-6331-4eab-a7bb-45776090f5e0,true,76126-204,at,WBFS-02-xjnk,Nicolas Group,NOT_APPLICABLE,1959,MINUS3,6,2,3.90kW/day,43,51,12,true,false
1062d483-d18c-4062-864d-e785961f180d,true,43742-0058,aenean lectus,EUKS-415-kvg,"Bergnaum, Zboncak and Hansen",ELECTRIC,2007,MINUS14,41,-8,2.04kW/day,59,24,6,true,true
746f8c1a-1962-47f7-b5a2-5e556a45c705,true,68084-398,ante vestibulum,CG-105-zhf,Klocko and Sons,ELECTRIC,2015,MINUS3,-40,-27,8.18kW/day,35,41,13,false,false
eae1a068-2173-4a7e-b000-ccfff58a05e5,true,61884-1001,ante ipsum,IFZRX-885-rs,"Torp, Bashirian and Dietrich",ELECTRIC,2008,MINUS19,-48,-25,8.44kW/day,77,52,71,true,true
77cb9eb4-c139-4662-9b55-10115486f310,true,0378-1078,at,HG-439-l,Nader-Bartoletti,SOLAR,1956,MINUS19,-18,21,4.35kW/day,97,48,4,true,false
119d6156-26be-4862-97a8-be967c79ba0a,false,61722-182,ut mauris eget,HA-575-m,Powlowski Group,GASOLINE,1959,MINUS7,-18,-9,5.86kW/day,17,80,90,true,true
ed660760-a6ee-4144-ab1a-b0432fcc2551,true,75936-120,vestibulum,DF-684-n,Hackett-Ondricka,GASOLINE,1992,MINUS15,9,-5,0.97kW/day,44,59,3,false,false
c0a2b1e7-237a-47ce-bc8e-08b279fdf861,true,0113-0274,at nunc,KFHVM-1-dnlzw,Anderson Group,GASOLINE,2017,MINUS2,32,15,2.04kW/day,75,100,34,true,true
5a905e04-2005-4142-a2eb-baa8c11b50da,true,49884-455,quisque,YKCB-093-fz,Haag-Ebert,SOLAR,1975,MINUS6,25,-19,5.93kW/day,75,13,28,true,false
5e272d6b-e696-44df-adf1-34448da11692,true,10454-711,ac leo pellentesque,JRODS-4-adwg,Hane-Bins,ELECTRIC,2013,MINUS13,4,38,8.03kW/day,61,43,25,true,true
2eb0209a-c3ba-45e9-91fc-86ea61e78145,false,0904-6125,eget elit,KB-82936-pacur,Barton-Fahey,GASOLINE,1966,MINUS17,-26,29,6.30kW/day,100,80,99,false,false
ee8bef7d-e749-440a-a16a-8c4ad767ebe4,false,42747-224,cras in purus,MGU-8019-wea,Hudson-Carroll,ELECTRIC,2014,MINUS7,-42,-33,1.74kW/day,98,55,66,false,true
a7a4a444-aca7-47e1-800b-0ee0738c089f,true,43063-523,nulla,TQ-90831-bl,Huel and Sons,NOT_APPLICABLE,1968,MINUS9,-49,20,4.79kW/day,27,20,75,false,false
7d612002-d83a-47cc-ada6-b85db86233c5,false,0942-6464,in magna bibendum,OQ-11975-psd,Walker-Schuster,ELECTRIC,1954,MINUS20,-38,-36,3.69kW/day,19,7,72,false,true
a75cf08e-8345-4cf3-82b6-b38f653fc961,true,24338-320,urna pretium nisl,BILCE-532-xufy,"Rogahn, Stehr and Huels",NOT_APPLICABLE,1992,MINUS10,-39,44,8.26kW/day,80,23,91,false,false
81f2fbf3-cab7-413c-8597-df82cfefa9bd,false,49884-464,turpis adipiscing,KA-06-larjp,Nolan Inc,NOT_APPLICABLE,1962,MINUS7,-25,-39,7.45kW/day,54,7,73,false,true
9bb92e1e-3640-47b0-80e6-ba3c36a0feb5,false,33261-058,elit proin,XFJ-4-p,Keeling-Ratke,SOLAR,2015,MINUS17,-13,14,6.21kW/day,1,37,89,false,false
a0b65476-312f-4057-96ef-c03f247ec8c9,false,55319-013,sed,IHRG-871-kh,Mohr Inc,GASOLINE,1997,MINUS12,-26,29,1.33kW/day,44,25,64,false,true
10ae5554-48a6-4fb3-9f36-0148f12ea876,true,36987-1755,donec ut,DAC-607-g,Bartoletti Group,SOLAR,1969,MINUS18,5,-44,4.44kW/day,74,10,80,true,false
0ddf1ce4-7f51-47e1-9641-f1725996aac0,false,49741-1003,quis lectus suspendisse,ODXT-1-,"Mueller, Becker and Sanford",SOLAR,1982,MINUS9,13,2,9.21kW/day,27,58,11,true,true
676d8c9f-0854-48da-ade8-78925c9b0958,true,54575-400,pede malesuada,FJB-264-qlkxh,Jenkins and Sons,ELECTRIC,1952,MINUS10,-17,21,8.27kW/day,24,91,40,false,false
e931ec43-eadf-4bda-82d7-a4debb2bfb56,false,49967-084,praesent blandit nam,RA-31-ra,Flatley Group,ELECTRIC,1956,MINUS1,47,-1,1.93kW/day,38,61,67,true,true
ab317584-cac7-4f51-9309-b5936cbb926e,false,36987-1512,duis bibendum morbi,BZNJF-1680-,"Olson, Heathcote and Lakin",GASOLINE,1981,MINUS11,-43,40,3.53kW/day,28,51,91,false,false
58e3e230-4ed5-424d-ab1f-3f00268ad083,false,62440-439,consequat nulla,SJ-585-pijk,"Herzog, Sawayn and Hickle",ELECTRIC,1999,MINUS16,-36,33,4.21kW/day,20,56,43,true,true
ac706223-c599-4bf5-b71d-7ecdb7439efb,true,61958-0406,vel nisl duis,YCFT-5-,"Huel, Bechtelar and Becker",GASOLINE,1973,MINUS7,-43,-21,2.67kW/day,87,13,36,false,false
d2e3f6b8-9e71-415f-8869-945349259a07,true,53603-2015,pulvinar,YIJ-2-sv,Murphy-Nader,ELECTRIC,1952,MINUS18,14,29,8.79kW/day,2,31,57,false,true
2876f5cd-e250-44b4-b5dd-924f3fb9cfbc,false,60681-5307,cras in,KZLB-994-n,Simonis LLC,ELECTRIC,1963,MINUS5,-29,28,1.84kW/day,73,37,29,false,false
7c50b6e6-1e54-4107-9c2c-6a62c2dd5bcd,false,36987-3069,blandit mi,KLCTS-9251-,"Reichel, Eichmann and Rath",ELECTRIC,1961,MINUS19,29,-50,6.68kW/day,84,1,86,true,true
acbe05d2-de27-4cab-9cd4-2d0b7832249e,true,33992-0113,quis justo maecenas,RJAS-3-v,Hirthe Inc,SOLAR,2006,MINUS10,-22,34,5.13kW/day,14,63,52,false,false
a864a5ac-2842-49aa-ba32-67c9e541f664,false,55648-544,elit proin risus,FR-82659-vkmd,Runolfsson-Torphy,SOLAR,2006,MINUS18,4,-11,2.42kW/day,70,43,28,false,true
6205a05f-6484-4c02-9b33-a15ff1527f41,false,41250-179,turpis enim blandit,BFD-3241-qj,"Harber, Hegmann and Heathcote",GASOLINE,1957,MINUS6,27,50,1.97kW/day,61,69,84,false,false
62ff643e-deba-4bc8-a127-f4d7c7ba4891,false,63323-690,ut nunc,FV-0798-nhxmq,Lesch-Oberbrunner,SOLAR,1957,MINUS6,-8,-18,1.65kW/day,54,61,67,false,true
b7e96a7a-dd04-429b-b434-ecefc0a33ecf,true,49643-300,venenatis non,UTFZ-7733-wpn,"Littel, Jaskolski and Beahan",ELECTRIC,2015,MINUS15,5,33,2.38kW/day,16,41,46,true,false
7ac0750d-a6f9-4592-a1b5-5c1d2f56c4b0,true,11410-401,cursus,RUSXG-78-beuf,"Lynch, Durgan and Schulist",GASOLINE,1989,MINUS6,37,-11,8.05kW/day,37,19,45,false,true
91ada985-8c8c-410e-9874-540117056eef,true,54868-6381,lorem ipsum,VWSP-39-i,"Heller, Emard and Pacocha",GASOLINE,1966,MINUS18,36,32,9.78kW/day,30,18,59,true,false
3da31859-32a4-4804-a836-7210b4c5c977,true,68788-9843,vitae mattis nibh,SNW-70931-sxk,Donnelly Group,ELECTRIC,1967,MINUS15,18,-15,7.03kW/day,35,60,73,false,true
f22b4df9-cd4e-4ccd-93d2-a382bae8f797,true,51079-235,enim sit,SGBU-60480-olhe,"Dooley, Wolf and Simonis",NOT_APPLICABLE,1985,MINUS19,44,24,1.58kW/day,35,76,72,false,false
3b32d25c-ad84-488a-979b-6a5833b20373,true,67777-305,id,MBPUZ-8-n,Mueller-Mueller,ELECTRIC,1976,MINUS10,-47,-18,9.67kW/day,65,66,23,false,true
36f3470e-d90e-494f-af6d-ce0dfe47999c,true,49349-914,nulla dapibus,UG-91-formd,Johnson Inc,GASOLINE,1997,MINUS5,-31,31,2.74kW/day,4,7,73,true,false
